step	mAP50(B)
0	0.22535
1	0.23837
2	0.36047
3	0.33649
4	0.35693
5	0.45772
6	0.49566
7	0.38489
8	0.52352
9	0.47372
10	0.50472
11	0.56629
12	0.50529
13	0.61691
14	0.5852
15	0.5819
16	0.54907
17	0.5969
18	0.60271
19	0.62529
20	0.61408
21	0.60564
22	0.62204
23	0.62744
24	0.61077
25	0.60663
26	0.63118
27	0.619
28	0.60185
29	0.64409
30	0.63522
31	0.65215
32	0.64272
33	0.64582
34	0.63065
35	0.64542
36	0.64441
37	0.62979
38	0.63897
39	0.62537
40	0.65334
41	0.65015
42	0.65398
43	0.66994
44	0.66207
45	0.67077
46	0.65852
47	0.67183
48	0.66543
49	0.667
50	0.66592
51	0.67018
52	0.66658
53	0.67174
54	0.6805
55	0.67743
56	0.67302
57	0.6921
58	0.68593
59	0.68365
60	0.68253
61	0.67727
62	0.66513
63	0.67121
64	0.68588
65	0.69032
66	0.69301
67	0.6866
68	0.68599
69	0.69133
70	0.68844
71	0.68927
72	0.68968
73	0.69089
74	0.69097
75	0.6929
76	0.68835
77	0.69288
78	0.70062
79	0.69707
80	0.69555
81	0.69817
82	0.69611
83	0.70032
84	0.69979
85	0.69755
86	0.70119
87	0.7012
88	0.7013
89	0.7035
90	0.69499
91	0.68357
92	0.68176
93	0.68688
94	0.68663
95	0.69495
96	0.69435
97	0.6943
98	0.69623
99	0.69893
