step	mAP50-95(B)
0	0.06589
1	0.0324
2	0.0011
3	0.0011
4	0.00179
5	0.03512
6	0.06296
7	0.1155
8	0.08269
9	0.08221
10	0.0416
11	0.06128
12	0.00403
13	0.01554
14	0.18076
15	0.1277
16	0.15471
17	0.20939
18	0.2035
19	0.21
20	0.21769
21	0.22284
22	0.15107
23	0.17068
24	0.25316
25	0.1704
26	0.23676
27	0.23606
28	0.19129
29	0.27455
30	0.25131
31	0.26585
32	0.20831
33	0.29217
34	0.26337
35	0.24614
36	0.28111
37	0.27384
38	0.28607
39	0.24064
40	0.22801
41	0.22
42	0.26735
43	0.2338
44	0.24657
45	0.24568
46	0.30087
47	0.26269
48	0.30065
49	0.30919
50	0.29458
51	0.26418
52	0.28509
53	0.30226
54	0.25805
55	0.26506
56	0.27341
57	0.30171
58	0.32851
59	0.28133
60	0.33824
61	0.32957
62	0.34359
63	0.28099
64	0.32715
65	0.29945
66	0.32556
67	0.28813
68	0.28239
69	0.27416
70	0.3283
71	0.32801
72	0.32355
73	0.33328
74	0.31981
75	0.34621
76	0.32805
77	0.37829
78	0.3805
79	0.317
80	0.36312
81	0.33821
82	0.33568
83	0.36274
84	0.32842
85	0.33278
86	0.34298
87	0.3535
88	0.31007
89	0.32311
90	0.34127
91	0.30455
92	0.28426
93	0.30112
94	0.31461
95	0.33849
96	0.36517
97	0.36186
98	0.35974
99	0.3604
