step	precision(B)
0	0.29228
1	0.28328
2	0.4476
3	0.4295
4	0.4944
5	0.52605
6	0.58349
7	0.45889
8	0.57005
9	0.57425
10	0.56486
11	0.61325
12	0.56569
13	0.67447
14	0.64172
15	0.66093
16	0.59974
17	0.63423
18	0.63951
19	0.68212
20	0.67013
21	0.6364
22	0.65294
23	0.66665
24	0.65015
25	0.64424
26	0.67507
27	0.64307
28	0.63064
29	0.67996
30	0.67481
31	0.69041
32	0.67817
33	0.67364
34	0.64826
35	0.67518
36	0.67657
37	0.67048
38	0.68025
39	0.65606
40	0.69522
41	0.67057
42	0.68947
43	0.69467
44	0.70113
45	0.70164
46	0.68701
47	0.70729
48	0.70549
49	0.71505
50	0.71491
51	0.70989
52	0.69886
53	0.71539
54	0.73071
55	0.72547
56	0.70823
57	0.73444
58	0.72615
59	0.71708
60	0.71137
61	0.70334
62	0.68425
63	0.70239
64	0.69711
65	0.71601
66	0.72685
67	0.72182
68	0.71114
69	0.71198
70	0.71714
71	0.71686
72	0.71536
73	0.72989
74	0.7281
75	0.71374
76	0.71949
77	0.72971
78	0.72639
79	0.73457
80	0.71924
81	0.71977
82	0.71821
83	0.72568
84	0.72672
85	0.71795
86	0.71832
87	0.72974
88	0.72642
89	0.73247
90	0.72549
91	0.71116
92	0.70416
93	0.70442
94	0.70716
95	0.7096
96	0.71268
97	0.71473
98	0.71592
99	0.71801
