step	recall(B)
0	0.22606
1	0.22375
2	0.00531
3	0.00531
4	0.01838
5	0.19257
6	0.32939
7	0.43496
8	0.29875
9	0.36553
10	0.26261
11	0.22197
12	0.05452
13	0.08536
14	0.50196
15	0.38901
16	0.44231
17	0.5108
18	0.48928
19	0.49683
20	0.48479
21	0.51085
22	0.47213
23	0.5029
24	0.56136
25	0.51093
26	0.54268
27	0.56647
28	0.4783
29	0.56504
30	0.57035
31	0.57096
32	0.50766
33	0.56
34	0.55667
35	0.54972
36	0.54276
37	0.5571
38	0.55748
39	0.55485
40	0.56572
41	0.55381
42	0.59751
43	0.56912
44	0.54959
45	0.56018
46	0.58893
47	0.58546
48	0.60302
49	0.60547
50	0.60527
51	0.58975
52	0.60282
53	0.61286
54	0.59215
55	0.60016
56	0.60261
57	0.61405
58	0.61446
59	0.60551
60	0.61526
61	0.62161
62	0.61997
63	0.61099
64	0.60588
65	0.61399
66	0.62957
67	0.61591
68	0.61936
69	0.61487
70	0.63252
71	0.62557
72	0.62079
73	0.63059
74	0.62671
75	0.61915
76	0.63345
77	0.63712
78	0.63529
79	0.64162
80	0.65346
81	0.64815
82	0.63733
83	0.65742
84	0.64958
85	0.64509
86	0.64836
87	0.65448
88	0.64774
89	0.65734
90	0.66082
91	0.63753
92	0.63039
93	0.64049
94	0.6361
95	0.63733
96	0.64422
97	0.65938
98	0.65897
99	0.65897
