step	cls_loss
0	3.359
1	1.57767
2	1.37812
3	1.24157
4	1.35648
5	1.26146
6	1.18216
7	1.14974
8	1.07998
9	1.05417
10	1.0682
11	1.06669
12	1.01852
13	1.14059
14	1.04035
15	1.03663
16	1.02231
17	1.04656
18	1.01062
19	0.9901
20	0.9571
21	0.97571
22	0.93562
23	0.94007
24	0.92705
25	0.96865
26	0.95945
27	0.94398
28	0.94999
29	0.92584
30	0.92537
31	0.92112
32	0.92413
33	0.90166
34	1.01757
35	0.91001
36	0.91511
37	0.90962
38	0.90223
39	0.88952
40	0.92915
41	0.87726
42	0.8915
43	0.89104
44	0.88728
45	0.88301
46	0.86203
47	0.92588
48	0.88748
49	0.87101
50	0.87417
51	0.85194
52	0.87683
53	0.89086
54	0.8608
55	0.84042
56	0.86489
57	0.85057
58	0.86745
59	0.85449
60	0.84524
61	0.83685
62	0.8469
63	0.85269
64	0.84348
65	0.85222
66	0.82476
67	0.83521
68	0.81979
69	0.81282
70	0.81191
71	0.82836
72	0.85424
73	0.83435
74	0.82268
75	0.82058
76	0.82518
77	0.8089
78	0.82297
79	0.82073
80	0.81676
81	0.89096
82	0.79963
83	0.92044
84	0.80848
85	0.80173
86	0.80913
87	0.79714
88	0.80274
89	0.79988
90	0.91063
91	0.92982
92	0.84441
93	0.84425
94	0.83949
95	0.82124
96	1.19723
97	0.79946
98	0.80857
99	0.79537
