step	dfl_loss
0	2.12608
1	1.71522
2	1.56906
3	1.49824
4	1.46951
5	1.41325
6	1.41966
7	1.40238
8	1.34446
9	1.32331
10	1.31026
11	1.32546
12	1.30467
13	1.29647
14	1.27941
15	1.29363
16	1.27498
17	1.25363
18	1.23922
19	1.25474
20	1.24064
21	1.22844
22	1.2246
23	1.23347
24	1.20827
25	1.22705
26	1.21924
27	1.19594
28	1.23312
29	1.20865
30	1.20645
31	1.19834
32	1.1995
33	1.19599
34	1.19346
35	1.18401
36	1.18437
37	1.17881
38	1.18736
39	1.18258
40	1.18956
41	1.16513
42	1.17643
43	1.16435
44	1.1755
45	1.16183
46	1.16984
47	1.19868
48	1.16465
49	1.16819
50	1.17184
51	1.15959
52	1.17629
53	1.15552
54	1.14726
55	1.13974
56	1.15609
57	1.14844
58	1.16001
59	1.153
60	1.14838
61	1.13829
62	1.14532
63	1.15605
64	1.14664
65	1.13877
66	1.13325
67	1.13699
68	1.13324
69	1.12635
70	1.1161
71	1.12446
72	1.15272
73	1.1355
74	1.13836
75	1.12696
76	1.14103
77	1.1287
78	1.12949
79	1.12605
80	1.12585
81	1.12856
82	1.11664
83	1.15228
84	1.109
85	1.10909
86	1.11352
87	1.11251
88	1.12132
89	1.11372
90	1.13702
91	1.13305
92	1.1243
93	1.11232
94	1.11342
95	1.11795
96	1.15024
97	1.09488
98	1.09968
99	1.10122
